job,marital,education,age,balance,homeowner,loans,ln_default,day,contact,month,duration,campaign,pdays,previous,poutcome,RESP
technician,divorced,tertiary,49,874,1.0,0.0,0.0,16,unknown,may,152,2,-1,0,unknown,0
blue-collar,divorced,secondary,49,259,0.0,0.0,1.0,16,unknown,may,283,2,-1,0,unknown,0
admin.,single,secondary,25,304,0.0,0.0,0.0,16,unknown,may,523,3,-1,0,unknown,0
blue-collar,single,secondary,33,371,1.0,0.0,0.0,16,unknown,may,1128,3,-1,0,unknown,0
blue-collar,married,primary,50,231,1.0,0.0,0.0,16,unknown,may,171,4,-1,0,unknown,0
admin.,married,secondary,50,1906,0.0,0.0,0.0,16,unknown,may,174,17,-1,0,unknown,0
management,single,secondary,40,192,1.0,0.0,0.0,16,unknown,may,71,11,-1,0,unknown,0
blue-collar,married,primary,32,158,1.0,0.0,0.0,16,unknown,may,84,4,-1,0,unknown,0
blue-collar,divorced,primary,43,-57,1.0,0.0,0.0,16,unknown,may,221,2,-1,0,unknown,0
retired,single,secondary,24,366,0.0,1.0,0.0,16,unknown,may,234,2,-1,0,unknown,0
blue-collar,married,primary,49,327,1.0,0.0,0.0,16,unknown,may,138,2,-1,0,unknown,0
management,married,tertiary,36,1125,1.0,1.0,0.0,16,unknown,may,339,5,-1,0,unknown,0
admin.,married,unknown,42,642,1.0,1.0,0.0,16,unknown,may,509,2,-1,0,unknown,0
admin.,single,secondary,31,-48,1.0,0.0,0.0,16,unknown,may,254,17,-1,0,unknown,0
technician,single,secondary,30,298,1.0,0.0,0.0,16,unknown,may,164,2,-1,0,unknown,0
technician,married,tertiary,46,2207,1.0,0.0,0.0,16,unknown,may,243,3,-1,0,unknown,0
blue-collar,single,secondary,35,88,1.0,0.0,0.0,16,unknown,may,344,4,-1,0,unknown,0
admin.,married,secondary,44,2687,1.0,0.0,0.0,16,unknown,may,131,4,-1,0,unknown,0
management,married,tertiary,33,307,0.0,0.0,0.0,16,unknown,may,806,4,-1,0,unknown,0
blue-collar,married,primary,42,398,1.0,0.0,1.0,16,unknown,may,251,4,-1,0,unknown,0
services,single,secondary,39,-388,1.0,0.0,0.0,16,unknown,may,1135,2,-1,0,unknown,0
blue-collar,single,primary,41,1649,1.0,0.0,0.0,16,unknown,may,312,3,-1,0,unknown,0
blue-collar,married,secondary,58,886,0.0,0.0,0.0,16,unknown,may,302,4,-1,0,unknown,0
blue-collar,married,secondary,40,1161,1.0,1.0,0.0,16,unknown,may,292,8,-1,0,unknown,0
admin.,married,secondary,37,281,1.0,0.0,0.0,16,unknown,may,279,2,-1,0,unknown,0
blue-collar,married,primary,45,137,1.0,1.0,0.0,16,unknown,may,187,19,-1,0,unknown,0
management,married,primary,49,267,1.0,0.0,0.0,16,unknown,may,198,5,-1,0,unknown,0
blue-collar,married,primary,35,767,1.0,0.0,0.0,16,unknown,may,1408,2,-1,0,unknown,0
blue-collar,single,secondary,28,1112,1.0,0.0,0.0,16,unknown,may,827,2,-1,0,unknown,0
technician,single,tertiary,32,192,1.0,0.0,0.0,16,unknown,may,303,5,-1,0,unknown,0
self-employed,married,secondary,45,1113,1.0,0.0,0.0,16,unknown,may,67,2,-1,0,unknown,0
technician,single,secondary,44,696,1.0,0.0,0.0,16,unknown,may,680,3,-1,0,unknown,0
blue-collar,married,primary,55,-268,1.0,0.0,0.0,16,unknown,may,160,6,-1,0,unknown,0
blue-collar,single,secondary,37,197,1.0,0.0,0.0,16,unknown,may,251,3,-1,0,unknown,0
services,single,secondary,28,317,1.0,0.0,0.0,16,unknown,may,21,3,-1,0,unknown,0
admin.,single,tertiary,43,329,1.0,0.0,0.0,16,unknown,may,218,2,-1,0,unknown,0
blue-collar,single,secondary,35,510,1.0,0.0,0.0,16,unknown,may,81,6,-1,0,unknown,0
management,single,tertiary,30,5,0.0,0.0,0.0,16,unknown,may,476,3,-1,0,unknown,0
management,single,tertiary,54,4393,1.0,0.0,0.0,16,unknown,may,1297,3,-1,0,unknown,1
management,divorced,tertiary,34,488,1.0,0.0,0.0,16,unknown,may,4,2,-1,0,unknown,0
services,single,secondary,30,442,1.0,0.0,0.0,16,unknown,may,283,3,-1,0,unknown,0
unknown,married,unknown,46,300,1.0,0.0,0.0,16,unknown,may,323,3,-1,0,unknown,0
blue-collar,married,primary,52,1007,1.0,0.0,0.0,16,unknown,may,248,2,-1,0,unknown,0
blue-collar,married,primary,44,195,1.0,0.0,0.0,16,unknown,may,541,5,-1,0,unknown,0
blue-collar,married,secondary,36,513,1.0,0.0,0.0,16,unknown,may,427,3,-1,0,unknown,0
technician,divorced,secondary,44,399,1.0,0.0,0.0,16,unknown,may,148,9,-1,0,unknown,0
blue-collar,married,primary,44,12,1.0,0.0,0.0,16,unknown,may,408,10,-1,0,unknown,0
blue-collar,single,secondary,24,77,1.0,0.0,0.0,16,unknown,may,236,2,-1,0,unknown,0
blue-collar,married,primary,56,8318,1.0,0.0,0.0,16,unknown,may,428,2,-1,0,unknown,0
blue-collar,divorced,secondary,41,-104,1.0,0.0,0.0,16,unknown,may,32,3,-1,0,unknown,0
technician,married,tertiary,51,0,1.0,0.0,0.0,16,unknown,may,330,19,-1,0,unknown,0
blue-collar,married,secondary,53,2,1.0,0.0,0.0,16,unknown,may,851,2,-1,0,unknown,0
blue-collar,single,primary,41,0,1.0,0.0,0.0,16,unknown,may,522,5,-1,0,unknown,0
blue-collar,single,primary,26,-579,1.0,0.0,0.0,16,unknown,may,320,3,-1,0,unknown,0
entrepreneur,married,tertiary,53,2884,1.0,0.0,0.0,16,unknown,may,165,4,-1,0,unknown,0
technician,single,secondary,30,863,1.0,0.0,0.0,16,unknown,may,1193,5,-1,0,unknown,1
admin.,single,unknown,27,56,1.0,0.0,0.0,16,unknown,may,730,2,-1,0,unknown,0
services,single,secondary,32,358,1.0,0.0,0.0,16,unknown,may,1144,3,-1,0,unknown,0
blue-collar,married,secondary,40,0,1.0,0.0,0.0,16,unknown,may,167,2,-1,0,unknown,0
technician,married,secondary,55,2055,1.0,0.0,0.0,16,unknown,may,1023,4,-1,0,unknown,0
services,single,secondary,35,568,1.0,0.0,0.0,16,unknown,may,469,2,-1,0,unknown,0
management,single,secondary,32,0,1.0,1.0,0.0,16,unknown,may,385,7,-1,0,unknown,0
blue-collar,married,unknown,57,97,1.0,0.0,0.0,16,unknown,may,260,6,-1,0,unknown,0
blue-collar,married,primary,32,217,1.0,0.0,0.0,16,unknown,may,169,3,-1,0,unknown,0
unknown,married,tertiary,55,0,0.0,0.0,0.0,16,unknown,may,409,3,-1,0,unknown,0
services,married,secondary,43,3608,1.0,0.0,0.0,16,unknown,may,165,6,-1,0,unknown,0
blue-collar,married,secondary,42,388,1.0,1.0,0.0,16,unknown,may,437,2,-1,0,unknown,0
management,single,tertiary,27,0,1.0,0.0,1.0,16,unknown,may,89,2,-1,0,unknown,0
services,married,secondary,36,279,0.0,0.0,0.0,16,unknown,may,261,6,-1,0,unknown,0
admin.,married,secondary,32,193,1.0,0.0,0.0,16,unknown,may,294,4,-1,0,unknown,0
technician,divorced,secondary,53,751,1.0,0.0,0.0,16,unknown,may,343,4,-1,0,unknown,0
blue-collar,married,secondary,34,305,1.0,0.0,0.0,16,unknown,may,1245,25,-1,0,unknown,0
blue-collar,single,secondary,23,105,1.0,0.0,0.0,16,unknown,may,498,2,-1,0,unknown,0
management,single,tertiary,31,548,1.0,0.0,0.0,16,unknown,may,148,4,-1,0,unknown,0
services,married,secondary,46,271,1.0,0.0,0.0,16,unknown,may,134,4,-1,0,unknown,0
services,married,secondary,31,246,1.0,0.0,0.0,16,unknown,may,230,2,-1,0,unknown,0
self-employed,married,tertiary,42,1932,1.0,0.0,0.0,16,unknown,may,192,32,-1,0,unknown,0
self-employed,married,secondary,52,1066,1.0,0.0,0.0,16,unknown,may,65,3,-1,0,unknown,0
blue-collar,married,primary,38,-326,1.0,0.0,0.0,16,unknown,may,237,3,-1,0,unknown,0
blue-collar,single,primary,38,1465,1.0,0.0,0.0,16,unknown,may,239,2,-1,0,unknown,0
unemployed,married,primary,60,26,1.0,0.0,0.0,16,unknown,may,196,6,-1,0,unknown,0
management,single,tertiary,42,10561,0.0,0.0,0.0,16,unknown,may,243,2,-1,0,unknown,0
blue-collar,married,secondary,30,68,1.0,1.0,0.0,16,unknown,may,393,2,-1,0,unknown,0
technician,divorced,tertiary,53,647,1.0,0.0,0.0,16,unknown,may,512,6,-1,0,unknown,0
admin.,single,secondary,35,368,1.0,0.0,0.0,16,unknown,may,218,3,-1,0,unknown,0
admin.,married,secondary,45,-183,1.0,0.0,0.0,16,unknown,may,215,3,-1,0,unknown,0
retired,married,primary,57,70,1.0,1.0,0.0,16,unknown,may,186,5,-1,0,unknown,0
technician,married,primary,41,141,1.0,0.0,0.0,16,unknown,may,299,4,-1,0,unknown,0
blue-collar,married,primary,44,75,0.0,0.0,0.0,16,unknown,may,107,3,-1,0,unknown,0
blue-collar,married,unknown,56,22,1.0,0.0,0.0,16,unknown,may,103,7,-1,0,unknown,0
services,married,secondary,46,9,0.0,0.0,0.0,16,unknown,may,297,4,-1,0,unknown,0
blue-collar,married,primary,34,695,1.0,1.0,0.0,16,unknown,may,1064,4,-1,0,unknown,1
blue-collar,divorced,primary,51,83,1.0,0.0,0.0,16,unknown,may,24,4,-1,0,unknown,0
services,single,secondary,27,-20,0.0,0.0,0.0,16,unknown,may,757,6,-1,0,unknown,0
self-employed,single,secondary,31,532,1.0,0.0,0.0,16,unknown,may,90,7,-1,0,unknown,0
management,married,tertiary,51,0,1.0,0.0,0.0,16,unknown,may,59,5,-1,0,unknown,0
management,single,tertiary,25,99,1.0,1.0,0.0,16,unknown,may,102,4,-1,0,unknown,0
management,married,unknown,48,54,1.0,0.0,0.0,16,unknown,may,293,7,-1,0,unknown,0
management,single,secondary,37,792,1.0,0.0,0.0,16,unknown,may,1187,4,-1,0,unknown,1
blue-collar,married,primary,35,378,1.0,0.0,0.0,16,unknown,may,427,3,-1,0,unknown,0
self-employed,married,tertiary,58,8014,1.0,0.0,0.0,19,unknown,may,65,3,-1,0,unknown,0
blue-collar,married,unknown,47,584,1.0,0.0,0.0,19,unknown,may,79,19,-1,0,unknown,0
retired,married,primary,58,331,1.0,0.0,0.0,19,unknown,may,145,4,-1,0,unknown,0
management,married,secondary,36,122,1.0,0.0,0.0,19,unknown,may,39,7,-1,0,unknown,0
blue-collar,married,secondary,38,660,1.0,1.0,0.0,19,unknown,may,105,2,-1,0,unknown,0
admin.,single,secondary,27,276,1.0,0.0,0.0,19,unknown,may,311,2,-1,0,unknown,0
blue-collar,married,primary,44,-14,1.0,1.0,0.0,19,unknown,may,179,4,-1,0,unknown,0
blue-collar,single,secondary,47,15,1.0,0.0,0.0,19,unknown,may,62,2,-1,0,unknown,0
admin.,single,secondary,26,-326,1.0,0.0,0.0,19,unknown,may,128,3,-1,0,unknown,0
services,single,secondary,29,2099,1.0,1.0,0.0,19,unknown,may,171,2,-1,0,unknown,0
management,divorced,tertiary,60,2589,1.0,0.0,0.0,19,unknown,may,134,2,-1,0,unknown,0
entrepreneur,single,secondary,37,654,0.0,0.0,0.0,19,unknown,may,594,2,-1,0,unknown,0
blue-collar,married,secondary,35,474,1.0,0.0,0.0,19,unknown,may,55,3,-1,0,unknown,0
blue-collar,married,secondary,44,294,1.0,0.0,0.0,19,unknown,may,66,2,-1,0,unknown,0
management,divorced,primary,50,-6,1.0,0.0,0.0,19,unknown,may,92,2,-1,0,unknown,0
blue-collar,married,primary,41,865,0.0,1.0,0.0,19,unknown,may,19,5,-1,0,unknown,0
technician,divorced,secondary,26,379,1.0,1.0,0.0,19,unknown,may,501,3,-1,0,unknown,0
management,married,primary,43,8167,1.0,0.0,0.0,19,unknown,may,114,2,-1,0,unknown,0
management,married,primary,46,357,1.0,1.0,0.0,19,unknown,may,221,2,-1,0,unknown,0
services,married,secondary,54,2431,1.0,0.0,0.0,19,unknown,may,221,4,-1,0,unknown,0
blue-collar,married,tertiary,46,1497,1.0,0.0,0.0,19,unknown,may,374,6,-1,0,unknown,0
blue-collar,married,primary,46,7934,1.0,0.0,0.0,19,unknown,may,123,1,-1,0,unknown,0
blue-collar,married,secondary,55,1261,0.0,0.0,0.0,19,unknown,may,166,1,-1,0,unknown,0
blue-collar,married,secondary,45,1124,1.0,0.0,0.0,19,unknown,may,37,1,-1,0,unknown,0
retired,married,primary,58,196,1.0,0.0,0.0,19,unknown,may,35,1,-1,0,unknown,0
unemployed,married,tertiary,48,-471,1.0,0.0,0.0,19,unknown,may,668,7,-1,0,unknown,0
services,married,secondary,38,497,1.0,1.0,0.0,19,unknown,may,88,5,-1,0,unknown,0
services,divorced,primary,57,1920,0.0,0.0,0.0,19,unknown,may,77,2,-1,0,unknown,0
blue-collar,divorced,primary,54,8180,0.0,0.0,0.0,19,unknown,may,312,1,-1,0,unknown,0
management,single,tertiary,40,2784,1.0,0.0,0.0,19,unknown,may,181,1,-1,0,unknown,0
services,married,secondary,44,556,0.0,0.0,0.0,19,unknown,may,134,3,-1,0,unknown,0
technician,married,secondary,55,517,1.0,1.0,0.0,19,unknown,may,61,4,-1,0,unknown,0
blue-collar,single,unknown,40,-154,1.0,1.0,0.0,19,unknown,may,258,1,-1,0,unknown,0
management,divorced,tertiary,42,0,0.0,0.0,0.0,19,unknown,may,131,2,-1,0,unknown,0
technician,married,secondary,48,522,1.0,0.0,0.0,19,unknown,may,71,1,-1,0,unknown,0
admin.,divorced,secondary,52,-342,0.0,0.0,0.0,19,unknown,may,153,1,-1,0,unknown,0
blue-collar,married,secondary,31,43,1.0,0.0,0.0,19,unknown,may,405,3,-1,0,unknown,0
admin.,married,secondary,60,12210,1.0,0.0,0.0,19,unknown,may,256,1,-1,0,unknown,0
services,married,primary,51,8806,1.0,0.0,0.0,19,unknown,may,131,1,-1,0,unknown,0
blue-collar,divorced,secondary,50,2402,1.0,0.0,0.0,19,unknown,may,219,1,-1,0,unknown,0
entrepreneur,married,secondary,44,-848,1.0,0.0,1.0,19,unknown,may,468,1,-1,0,unknown,0
admin.,married,secondary,33,0,0.0,0.0,0.0,19,unknown,may,326,2,-1,0,unknown,0
technician,married,secondary,43,674,1.0,1.0,0.0,19,unknown,may,412,1,-1,0,unknown,0
services,divorced,secondary,46,778,1.0,0.0,0.0,19,unknown,may,579,1,-1,0,unknown,0
services,married,secondary,43,384,1.0,1.0,0.0,19,unknown,may,277,3,-1,0,unknown,0
services,divorced,secondary,50,256,1.0,0.0,0.0,19,unknown,may,316,2,-1,0,unknown,0
admin.,single,secondary,41,1020,1.0,0.0,0.0,19,unknown,may,882,1,-1,0,unknown,1
services,married,secondary,50,1463,1.0,0.0,0.0,19,unknown,may,380,1,-1,0,unknown,0
services,divorced,secondary,50,761,1.0,0.0,0.0,19,unknown,may,169,1,-1,0,unknown,0
admin.,married,secondary,40,1380,1.0,0.0,0.0,19,unknown,may,127,1,-1,0,unknown,0
blue-collar,single,primary,30,71,1.0,0.0,0.0,19,unknown,may,122,6,-1,0,unknown,0
admin.,married,secondary,44,-1249,1.0,1.0,1.0,19,unknown,may,83,4,-1,0,unknown,0
technician,single,secondary,51,4089,1.0,0.0,0.0,19,unknown,may,318,1,-1,0,unknown,0
blue-collar,married,primary,40,3736,1.0,0.0,0.0,19,unknown,may,29,3,-1,0,unknown,0
blue-collar,married,primary,38,2407,1.0,0.0,0.0,19,unknown,may,218,1,-1,0,unknown,0
technician,married,secondary,52,1781,1.0,0.0,0.0,19,unknown,may,144,2,-1,0,unknown,0
technician,married,secondary,49,4667,1.0,0.0,0.0,19,unknown,may,130,2,-1,0,unknown,0
admin.,divorced,secondary,44,2,1.0,0.0,0.0,19,unknown,may,429,1,-1,0,unknown,0
admin.,married,tertiary,39,259,1.0,0.0,0.0,19,unknown,may,27,1,-1,0,unknown,0
admin.,single,secondary,43,445,1.0,0.0,0.0,19,unknown,may,546,2,-1,0,unknown,0
services,married,secondary,32,132,1.0,1.0,0.0,19,unknown,may,343,2,-1,0,unknown,0
management,divorced,unknown,55,2,1.0,0.0,0.0,19,unknown,may,95,1,-1,0,unknown,0
services,married,secondary,55,283,1.0,0.0,0.0,19,unknown,may,156,1,-1,0,unknown,0
management,divorced,secondary,42,830,1.0,0.0,0.0,19,unknown,may,112,1,-1,0,unknown,0
technician,single,tertiary,26,75,1.0,1.0,0.0,19,unknown,may,351,1,-1,0,unknown,0
services,married,secondary,54,158,1.0,0.0,0.0,19,unknown,may,198,1,-1,0,unknown,0
blue-collar,married,primary,34,46,1.0,1.0,0.0,19,unknown,may,165,1,-1,0,unknown,0
management,married,tertiary,46,4301,1.0,1.0,0.0,19,unknown,may,134,2,-1,0,unknown,0
blue-collar,single,secondary,25,815,1.0,0.0,0.0,19,unknown,may,268,6,-1,0,unknown,0
management,married,tertiary,49,128,1.0,0.0,0.0,19,unknown,may,298,1,-1,0,unknown,0
blue-collar,divorced,primary,59,457,1.0,0.0,0.0,19,unknown,may,63,1,-1,0,unknown,0
management,married,primary,57,0,0.0,0.0,0.0,19,unknown,may,455,1,-1,0,unknown,0
technician,married,secondary,27,374,1.0,0.0,0.0,19,unknown,may,188,2,-1,0,unknown,0
services,married,secondary,38,3259,1.0,0.0,0.0,19,unknown,may,241,1,-1,0,unknown,0
services,divorced,secondary,41,-19,1.0,0.0,0.0,19,unknown,may,201,1,-1,0,unknown,0
blue-collar,married,secondary,56,316,1.0,0.0,0.0,19,unknown,may,27,1,-1,0,unknown,0
blue-collar,married,secondary,37,398,1.0,0.0,0.0,19,unknown,may,206,1,-1,0,unknown,0
unemployed,married,secondary,32,2996,1.0,0.0,0.0,19,unknown,may,68,1,-1,0,unknown,0
admin.,married,secondary,47,292,1.0,0.0,0.0,19,unknown,may,82,3,-1,0,unknown,0
management,married,tertiary,57,5431,1.0,0.0,0.0,19,unknown,may,97,2,-1,0,unknown,0
services,single,tertiary,38,323,1.0,0.0,0.0,19,unknown,may,138,1,-1,0,unknown,0
blue-collar,married,secondary,30,1312,1.0,0.0,0.0,19,unknown,may,285,2,-1,0,unknown,0
blue-collar,married,primary,43,953,1.0,0.0,0.0,19,unknown,may,135,1,-1,0,unknown,0
blue-collar,single,secondary,35,5,0.0,0.0,0.0,19,unknown,may,268,3,-1,0,unknown,0
technician,single,secondary,28,213,1.0,0.0,0.0,19,unknown,may,267,1,-1,0,unknown,0
admin.,married,secondary,38,976,1.0,1.0,0.0,19,unknown,may,382,2,-1,0,unknown,0
blue-collar,married,primary,45,970,1.0,0.0,0.0,19,unknown,may,208,5,-1,0,unknown,0
technician,single,secondary,31,87,1.0,0.0,0.0,19,unknown,may,259,3,-1,0,unknown,0
technician,married,secondary,38,59,1.0,0.0,0.0,19,unknown,may,18,1,-1,0,unknown,0
student,single,tertiary,28,80,1.0,0.0,0.0,19,unknown,may,234,1,-1,0,unknown,0
unemployed,married,primary,40,3444,1.0,0.0,0.0,19,unknown,may,792,4,-1,0,unknown,0
blue-collar,married,secondary,30,12697,1.0,1.0,0.0,19,unknown,may,95,1,-1,0,unknown,0
blue-collar,married,secondary,47,863,1.0,0.0,0.0,19,unknown,may,943,2,-1,0,unknown,1
management,single,tertiary,27,0,1.0,0.0,1.0,19,unknown,may,352,1,-1,0,unknown,0
technician,single,secondary,30,18,0.0,0.0,0.0,19,unknown,may,798,1,-1,0,unknown,0
services,married,secondary,53,33,1.0,0.0,0.0,19,unknown,may,84,12,-1,0,unknown,0
blue-collar,married,primary,48,281,1.0,0.0,0.0,19,unknown,may,100,3,-1,0,unknown,0
technician,single,secondary,35,-206,1.0,0.0,0.0,19,unknown,may,85,4,-1,0,unknown,0
services,single,secondary,38,36,1.0,0.0,0.0,19,unknown,may,143,1,-1,0,unknown,0
technician,married,unknown,32,1879,0.0,0.0,0.0,19,unknown,may,115,1,-1,0,unknown,0
blue-collar,married,primary,53,10,1.0,0.0,0.0,19,unknown,may,73,1,-1,0,unknown,0
blue-collar,married,secondary,25,77,1.0,0.0,0.0,19,unknown,may,31,1,-1,0,unknown,0
entrepreneur,married,tertiary,45,369,1.0,0.0,0.0,19,unknown,may,182,2,-1,0,unknown,0
blue-collar,single,secondary,28,43,0.0,0.0,0.0,19,unknown,may,190,1,-1,0,unknown,0
blue-collar,married,primary,30,392,1.0,0.0,0.0,19,unknown,may,351,1,-1,0,unknown,0
admin.,single,secondary,31,0,0.0,0.0,0.0,19,unknown,may,179,1,-1,0,unknown,0
housemaid,married,primary,42,14752,0.0,0.0,0.0,19,unknown,may,107,2,-1,0,unknown,0
admin.,married,unknown,60,738,0.0,0.0,0.0,19,unknown,may,529,3,-1,0,unknown,0
student,single,tertiary,28,836,1.0,0.0,0.0,19,unknown,may,36,1,-1,0,unknown,0
blue-collar,single,primary,46,2851,1.0,0.0,0.0,19,unknown,may,122,2,-1,0,unknown,0
technician,married,tertiary,40,296,0.0,0.0,0.0,19,unknown,may,198,1,-1,0,unknown,0
blue-collar,married,primary,32,1076,1.0,0.0,0.0,19,unknown,may,67,1,-1,0,unknown,0
blue-collar,married,secondary,56,25,1.0,0.0,0.0,19,unknown,may,264,1,-1,0,unknown,0
blue-collar,married,primary,20,-172,1.0,1.0,0.0,19,unknown,may,238,3,-1,0,unknown,0
services,single,secondary,41,197,1.0,0.0,0.0,19,unknown,may,112,1,-1,0,unknown,0
blue-collar,married,secondary,48,5057,1.0,0.0,0.0,19,unknown,may,21,2,-1,0,unknown,0
blue-collar,married,primary,49,284,1.0,0.0,0.0,19,unknown,may,81,1,-1,0,unknown,0
blue-collar,single,tertiary,29,1012,1.0,0.0,0.0,19,unknown,may,496,3,-1,0,unknown,0
admin.,divorced,secondary,57,4378,1.0,0.0,0.0,19,unknown,may,78,3,-1,0,unknown,0
technician,married,secondary,49,2718,0.0,0.0,0.0,19,unknown,may,114,2,-1,0,unknown,0
entrepreneur,single,primary,42,103,1.0,0.0,0.0,19,unknown,may,156,5,-1,0,unknown,0
blue-collar,married,secondary,28,1827,1.0,0.0,0.0,19,unknown,may,211,2,-1,0,unknown,0
blue-collar,married,secondary,31,41,1.0,0.0,0.0,19,unknown,may,265,1,-1,0,unknown,0
blue-collar,married,secondary,26,484,1.0,0.0,0.0,19,unknown,may,48,2,-1,0,unknown,0
services,single,secondary,29,146,1.0,0.0,0.0,19,unknown,may,104,2,-1,0,unknown,0
technician,single,secondary,26,3,1.0,0.0,0.0,19,unknown,may,610,1,-1,0,unknown,0
blue-collar,single,secondary,31,259,1.0,0.0,0.0,19,unknown,may,287,1,-1,0,unknown,0
entrepreneur,married,secondary,38,830,1.0,0.0,0.0,19,unknown,may,68,2,-1,0,unknown,0
services,divorced,primary,45,242,1.0,0.0,0.0,19,unknown,may,336,1,-1,0,unknown,0
blue-collar,single,secondary,24,0,1.0,0.0,0.0,19,unknown,may,202,1,-1,0,unknown,0
admin.,single,secondary,31,6042,1.0,0.0,0.0,19,unknown,may,228,1,-1,0,unknown,0
blue-collar,married,secondary,40,-341,1.0,0.0,0.0,19,unknown,may,192,1,-1,0,unknown,0
services,divorced,secondary,34,221,1.0,0.0,0.0,19,unknown,may,343,1,-1,0,unknown,0
technician,single,secondary,24,-46,1.0,0.0,0.0,19,unknown,may,23,1,-1,0,unknown,0
blue-collar,single,secondary,26,-5,0.0,0.0,0.0,19,unknown,may,260,1,-1,0,unknown,0
management,single,tertiary,29,617,1.0,0.0,0.0,19,unknown,may,387,1,-1,0,unknown,0
management,married,tertiary,30,134,1.0,0.0,0.0,19,unknown,may,70,1,-1,0,unknown,0
blue-collar,married,primary,61,625,1.0,0.0,0.0,19,unknown,may,158,2,-1,0,unknown,0
management,married,tertiary,26,775,0.0,0.0,0.0,19,unknown,may,35,3,-1,0,unknown,0
technician,single,tertiary,31,221,1.0,0.0,0.0,19,unknown,may,145,3,-1,0,unknown,0
technician,single,tertiary,28,-31,1.0,0.0,0.0,19,unknown,may,257,1,-1,0,unknown,0
admin.,married,secondary,31,97,1.0,0.0,0.0,19,unknown,may,607,1,-1,0,unknown,1
entrepreneur,divorced,tertiary,52,81,1.0,0.0,0.0,19,unknown,may,214,3,-1,0,unknown,0
blue-collar,single,secondary,30,16,1.0,0.0,0.0,19,unknown,may,127,5,-1,0,unknown,0
services,married,secondary,32,144,1.0,0.0,0.0,19,unknown,may,260,11,-1,0,unknown,0
management,single,tertiary,38,889,0.0,0.0,0.0,19,unknown,may,197,4,-1,0,unknown,0
blue-collar,married,secondary,40,-481,1.0,1.0,0.0,19,unknown,may,174,2,-1,0,unknown,0
entrepreneur,married,secondary,38,680,1.0,0.0,0.0,19,unknown,may,144,2,-1,0,unknown,0
blue-collar,married,secondary,54,-754,1.0,0.0,0.0,19,unknown,may,222,2,-1,0,unknown,0
services,married,secondary,42,2993,1.0,0.0,0.0,19,unknown,may,136,2,-1,0,unknown,0
technician,divorced,tertiary,34,501,1.0,0.0,0.0,19,unknown,may,546,12,-1,0,unknown,0
management,married,tertiary,42,365,1.0,0.0,0.0,19,unknown,may,49,2,-1,0,unknown,0
retired,divorced,primary,54,477,1.0,0.0,0.0,19,unknown,may,335,4,-1,0,unknown,0
blue-collar,married,secondary,27,72,1.0,0.0,0.0,19,unknown,may,105,1,-1,0,unknown,0
blue-collar,married,primary,31,2085,1.0,1.0,0.0,19,unknown,may,488,3,-1,0,unknown,0
technician,single,secondary,34,705,1.0,1.0,0.0,19,unknown,may,1203,3,-1,0,unknown,0
blue-collar,married,secondary,31,754,1.0,0.0,0.0,19,unknown,may,1022,4,-1,0,unknown,1
technician,married,secondary,27,512,1.0,0.0,0.0,19,unknown,may,128,1,-1,0,unknown,0
blue-collar,married,secondary,25,300,1.0,1.0,0.0,19,unknown,may,126,3,-1,0,unknown,0
student,single,secondary,20,67,1.0,0.0,0.0,19,unknown,may,387,1,-1,0,unknown,0
admin.,divorced,secondary,54,912,1.0,0.0,0.0,19,unknown,may,258,1,-1,0,unknown,0
blue-collar,single,unknown,30,0,1.0,0.0,0.0,19,unknown,may,199,1,-1,0,unknown,0
blue-collar,married,secondary,33,86,1.0,0.0,0.0,19,unknown,may,364,1,-1,0,unknown,0
blue-collar,single,secondary,22,0,1.0,0.0,0.0,19,unknown,may,123,1,-1,0,unknown,0
blue-collar,married,unknown,36,79,1.0,0.0,0.0,19,unknown,may,201,14,-1,0,unknown,0
blue-collar,married,secondary,44,87,1.0,0.0,0.0,19,unknown,may,193,3,-1,0,unknown,0
management,married,secondary,43,3196,1.0,1.0,0.0,19,unknown,may,159,3,-1,0,unknown,0
retired,married,secondary,44,181,1.0,0.0,0.0,19,unknown,may,131,6,-1,0,unknown,0
management,single,tertiary,49,354,1.0,0.0,0.0,19,unknown,may,166,3,-1,0,unknown,0
entrepreneur,married,secondary,27,220,1.0,0.0,0.0,19,unknown,may,480,1,-1,0,unknown,0
blue-collar,married,primary,45,2128,1.0,0.0,0.0,19,unknown,may,149,4,-1,0,unknown,0
management,married,tertiary,41,4357,1.0,0.0,0.0,19,unknown,may,110,1,-1,0,unknown,0
entrepreneur,single,unknown,28,1306,1.0,0.0,0.0,19,unknown,may,396,3,-1,0,unknown,0
technician,married,unknown,51,425,1.0,0.0,0.0,19,unknown,may,124,3,-1,0,unknown,0
management,married,tertiary,49,68,1.0,1.0,0.0,19,unknown,may,163,3,-1,0,unknown,0
unemployed,married,secondary,42,1990,1.0,1.0,0.0,19,unknown,may,13,1,-1,0,unknown,0
technician,married,secondary,55,978,1.0,0.0,0.0,19,unknown,may,259,1,-1,0,unknown,0
technician,single,secondary,41,0,1.0,1.0,0.0,19,unknown,may,162,1,-1,0,unknown,0
management,single,tertiary,51,824,0.0,0.0,0.0,19,unknown,may,102,2,-1,0,unknown,0
blue-collar,married,secondary,46,679,1.0,0.0,0.0,19,unknown,may,723,1,-1,0,unknown,0
